namespace,de - ate,teacher_Cadastrados,teacher_Unicos que entraram,teacher_Stickness,teacher_Tempo medio logado (min),teacher_Conteudos novos publicados,teacher_Tipos de conteudo,teacher_QPlanos novos publicados,student_Cadastrados,student_Unicos que entraram,student_Stickness,student_Tempo medio logado (min)
ateneulondrina,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-02-23 - 2015-03-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-03-02 - 2015-03-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ateneulondrina,2015-03-09 - 2015-03-15,1,0,0.0,0.0,0,,0,2,0,0.0,0.0
ateneulondrina,2015-03-16 - 2015-03-22,4,4,0.21428571428571427,0.28,0,,0,40,0,0.0,0.0
ateneulondrina,2015-03-23 - 2015-03-29,4,1,0.14285714285714285,1.29,0,,0,40,0,0.0,0.0
ateneulondrina,2015-03-30 - 2015-04-05,4,0,0.0,0.0,0,,0,40,0,0.0,0.0
ateneulondrina,2015-04-06 - 2015-04-12,4,1,0.14285714285714285,5.54,0,,0,41,1,0.14285714285714285,0.33
lasalledores,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
lasalledores,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
lasalledores,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
lasalledores,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
lasalledores,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
lasalledores,2015-02-23 - 2015-03-01,1,0,0.0,0.0,0,,1,4,0,0.0,0.0
lasalledores,2015-03-02 - 2015-03-08,3,3,0.23809523809523808,4.15,0,,0,4,1,0.14285714285714285,19.56
lasalledores,2015-03-09 - 2015-03-15,3,1,0.14285714285714285,3.58,0,,0,0,0,0.0,0.0
lasalledores,2015-03-16 - 2015-03-22,3,1,0.14285714285714285,10.7,4,VIDEO: 4,1,95,0,0.0,21.07
lasalledores,2015-03-23 - 2015-03-29,3,0,0.0,0.0,0,,0,95,0,0.0,0.0
lasalledores,2015-03-30 - 2015-04-05,3,0,0.0,0.0,0,,0,95,0,0.0,0.0
lasalledores,2015-04-06 - 2015-04-12,3,1,0.42857142857142855,8.64,4,VIDEO: 4,1,95,11,0.18181818181818182,3.77
colegiodarwin,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-02-23 - 2015-03-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-03-02 - 2015-03-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
colegiodarwin,2015-03-09 - 2015-03-15,0,0,0.0,0.0,0,,0,2,0,0.0,0.0
colegiodarwin,2015-03-16 - 2015-03-22,5,5,0.14285714285714285,0.08,0,,0,0,0,0.0,4.56
colegiodarwin,2015-03-23 - 2015-03-29,5,1,0.14285714285714285,3.38,0,,0,384,0,0.0,0.0
colegiodarwin,2015-03-30 - 2015-04-05,5,0,0.0,0.0,0,,0,384,0,0.0,0.79
colegiodarwin,2015-04-06 - 2015-04-12,5,2,0.14285714285714285,8.64,0,,0,385,1,0.14285714285714285,1.5
cfsantoantonio,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
cfsantoantonio,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
cfsantoantonio,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
cfsantoantonio,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
cfsantoantonio,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
cfsantoantonio,2015-02-23 - 2015-03-01,4,2,0.14285714285714285,2.35,0,,1,81,0,0.0,42.1
cfsantoantonio,2015-03-02 - 2015-03-08,4,0,0.0,0.0,0,,1,82,1,0.14285714285714285,0.67
cfsantoantonio,2015-03-09 - 2015-03-15,5,1,0.14285714285714285,21.58,0,,0,82,0,0.0,0.0
cfsantoantonio,2015-03-16 - 2015-03-22,5,0,0.0,0.0,0,,0,82,0,0.0,0.0
cfsantoantonio,2015-03-23 - 2015-03-29,5,0,0.0,0.0,0,,0,83,1,0.14285714285714285,2.45
cfsantoantonio,2015-03-30 - 2015-04-05,4,0,0.0,0.0,0,,0,83,0,0.0,5.86
cfsantoantonio,2015-04-06 - 2015-04-12,4,0,0.0,0.0,0,,0,83,0,0.0,0.21
jesusmariajose,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
jesusmariajose,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
jesusmariajose,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
jesusmariajose,2015-02-09 - 2015-02-15,-,0,0.0,0.0,17,"PRESENTATION: 2, VIDEO: 4, EXERCISELIST: 2, EXERCISE: 9",0,-,0,0.0,0.0
jesusmariajose,2015-02-16 - 2015-02-22,-,0,0.0,0.0,34,"VIDEO: 1, EXERCISELIST: 2, ARTICLE: 1, PRESENTATION: 5, EXERCISE: 25",0,-,0,0.0,0.0
jesusmariajose,2015-02-23 - 2015-03-01,5,4,0.17857142857142858,22.47,58,"VIDEO: 5, EXERCISELIST: 4, EXERCISE: 49",1,268,32,0.20089285714285715,5.43
jesusmariajose,2015-03-02 - 2015-03-08,5,1,0.2857142857142857,39.4,8,VIDEO: 8,5,272,95,0.18947368421052632,14.47
jesusmariajose,2015-03-09 - 2015-03-15,4,1,0.14285714285714285,92.3,22,"EXERCISE: 21, EXERCISELIST: 1",1,272,41,0.17073170731707316,5.14
jesusmariajose,2015-03-16 - 2015-03-22,4,1,0.2857142857142857,71.19,26,"EXERCISELIST: 2, EXERCISE: 24",2,272,101,0.22065063649222066,10.63
jesusmariajose,2015-03-23 - 2015-03-29,4,1,0.2857142857142857,87.31,0,,0,272,57,0.2155388471177945,9.94
jesusmariajose,2015-03-30 - 2015-04-05,4,1,0.14285714285714285,126.45,58,"EXERCISELIST: 2, EXERCISE: 56",2,275,14,0.19387755102040813,7.95
jesusmariajose,2015-04-06 - 2015-04-12,4,0,0.0,0.0,21,"EXERCISELIST: 1, EXERCISE: 20",0,275,104,0.20604395604395606,21.05
novadimensao,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-02-23 - 2015-03-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-03-02 - 2015-03-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
novadimensao,2015-03-09 - 2015-03-15,2,0,0.0,0.0,0,,0,1,0,0.0,0.0
novadimensao,2015-03-16 - 2015-03-22,2,0,0.0,0.0,0,,0,1,0,0.0,0.0
novadimensao,2015-03-23 - 2015-03-29,2,0,0.0,0.0,0,,0,1,0,0.0,0.0
novadimensao,2015-03-30 - 2015-04-05,2,0,0.0,0.0,0,,0,1,0,0.0,0.0
novadimensao,2015-04-06 - 2015-04-12,1,0,0.0,0.0,0,,0,2,0,0.0,0.09
moria,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
moria,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
moria,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
moria,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
moria,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
moria,2015-02-23 - 2015-03-01,2,0,0.0,0.0,0,,1,50,0,0.0,27.63
moria,2015-03-02 - 2015-03-08,4,2,0.14285714285714285,0.82,0,,0,50,0,0.0,7.17
moria,2015-03-09 - 2015-03-15,4,0,0.0,0.0,0,,0,50,0,0.0,0.0
moria,2015-03-16 - 2015-03-22,4,0,0.0,0.0,0,,0,51,0,0.0,6.23
moria,2015-03-23 - 2015-03-29,4,0,0.0,0.0,0,,0,51,0,0.0,0.0
moria,2015-03-30 - 2015-04-05,4,0,0.0,0.0,0,,0,51,0,0.0,0.0
moria,2015-04-06 - 2015-04-12,4,0,0.0,0.0,0,,0,51,0,0.0,0.31
clubedopimpolho,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
clubedopimpolho,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
clubedopimpolho,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
clubedopimpolho,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
clubedopimpolho,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
clubedopimpolho,2015-02-23 - 2015-03-01,3,2,0.14285714285714285,0.16,0,,1,3,0,0.0,24.21
clubedopimpolho,2015-03-02 - 2015-03-08,3,0,0.0,0.0,0,,0,4,0,0.0,2.16
clubedopimpolho,2015-03-09 - 2015-03-15,3,0,0.0,0.0,0,,0,53,0,0.0,2.45
clubedopimpolho,2015-03-16 - 2015-03-22,3,1,0.42857142857142855,24.55,1,VIDEO: 1,0,55,0,0.0,0.34
clubedopimpolho,2015-03-23 - 2015-03-29,3,0,0.0,0.0,0,,0,55,0,0.0,0.0
clubedopimpolho,2015-03-30 - 2015-04-05,3,2,0.21428571428571427,131.7,3,"ARTICLE: 1, VIDEO: 2",2,56,0,0.0,37.7
clubedopimpolho,2015-04-06 - 2015-04-12,2,0,0.0,0.0,0,,0,56,0,0.0,2.9
adventus,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
adventus,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
adventus,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
adventus,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
adventus,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
adventus,2015-02-23 - 2015-03-01,2,2,0.21428571428571427,1.54,0,,1,0,0,0.0,18.86
adventus,2015-03-02 - 2015-03-08,4,3,0.19047619047619047,0.07,1,VIDEO: 1,0,55,0,0.0,4.62
adventus,2015-03-09 - 2015-03-15,4,0,0.0,0.0,0,,0,59,0,0.0,0.32
adventus,2015-03-16 - 2015-03-22,4,1,0.14285714285714285,23.84,1,VIDEO: 1,1,59,0,0.0,16.98
adventus,2015-03-23 - 2015-03-29,4,1,0.2857142857142857,81.87,1,VIDEO: 1,0,59,0,0.0,0.0
adventus,2015-03-30 - 2015-04-05,4,0,0.0,0.0,0,,0,59,0,0.0,0.84
adventus,2015-04-06 - 2015-04-12,4,0,0.0,0.0,0,,0,59,0,0.0,2.12
tabernaculo,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
tabernaculo,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
tabernaculo,2015-02-02 - 2015-02-08,0,0,0.0,0.0,0,,0,2,0,0.0,0.0
tabernaculo,2015-02-09 - 2015-02-15,0,0,0.0,0.0,0,,0,2,0,0.0,0.0
tabernaculo,2015-02-16 - 2015-02-22,0,0,0.0,0.0,0,,0,2,0,0.0,0.0
tabernaculo,2015-02-23 - 2015-03-01,3,3,0.14285714285714285,0.1,0,,1,0,0,0.0,31.02
tabernaculo,2015-03-02 - 2015-03-08,3,0,0.0,0.0,0,,0,22,0,0.0,2.55
tabernaculo,2015-03-09 - 2015-03-15,3,0,0.0,0.0,0,,0,22,0,0.0,0.0
tabernaculo,2015-03-16 - 2015-03-22,3,0,0.0,0.0,8,"PRESENTATION: 1, VIDEO: 7",2,22,0,0.0,0.13
tabernaculo,2015-03-23 - 2015-03-29,3,1,0.14285714285714285,4.56,0,,0,22,0,0.0,0.0
tabernaculo,2015-03-30 - 2015-04-05,3,0,0.0,0.0,17,"VIDEO: 2, EXERCISE: 14, EXERCISELIST: 1",0,21,9,0.1904761904761905,5.28
tabernaculo,2015-04-06 - 2015-04-12,4,1,0.2857142857142857,5.77,11,"EXERCISELIST: 1, EXERCISE: 10",1,21,2,0.14285714285714285,42.18
projetovida,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
projetovida,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
projetovida,2015-02-02 - 2015-02-08,3,0,0.0,0.0,0,,0,1,0,0.0,0.0
projetovida,2015-02-09 - 2015-02-15,3,0,0.0,0.0,0,,0,1,0,0.0,0.0
projetovida,2015-02-16 - 2015-02-22,3,0,0.0,0.0,0,,0,1,0,0.0,0.0
projetovida,2015-02-23 - 2015-03-01,4,1,0.42857142857142855,67.57,3,"VIDEO: 1, EXERCISELIST: 1, EXERCISE: 1",1,1,0,0.0,1.84
projetovida,2015-03-02 - 2015-03-08,4,1,0.2857142857142857,2.97,0,,1,2,0,0.0,0.0
projetovida,2015-03-09 - 2015-03-15,4,1,0.14285714285714285,0.37,0,,0,2,0,0.0,0.0
projetovida,2015-03-16 - 2015-03-22,2,2,0.14285714285714285,5.72,0,,0,1,0,0.0,0.0
projetovida,2015-03-23 - 2015-03-29,2,2,0.2857142857142857,23.33,5,"ARTICLE: 3, PRESENTATION: 1, VIDEO: 1",3,1,0,0.0,0.0
projetovida,2015-03-30 - 2015-04-05,2,2,0.35714285714285715,221.1,64,"ARTICLE: 5, EXERCISE: 50, EXERCISELIST: 9",6,298,0,0.0,0.49
projetovida,2015-04-06 - 2015-04-12,2,2,0.21428571428571427,61.37,55,"ARTICLE: 4, EXERCISE: 43, EXERCISELIST: 8",0,298,0,0.0,1.11
boaviagem,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-02-23 - 2015-03-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-03-02 - 2015-03-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
boaviagem,2015-03-09 - 2015-03-15,11,11,0.15584415584415584,0.42,0,,0,338,0,0.0,0.42
boaviagem,2015-03-16 - 2015-03-22,11,4,0.14285714285714285,3.56,2,VIDEO: 2,0,442,3,0.14285714285714285,0.66
boaviagem,2015-03-23 - 2015-03-29,11,8,0.14285714285714285,37.62,2,VIDEO: 2,5,443,1,0.14285714285714285,0.53
boaviagem,2015-03-30 - 2015-04-05,11,0,0.0,0.0,0,,0,443,1,0.14285714285714285,0.07
boaviagem,2015-04-06 - 2015-04-12,11,0,0.0,0.04,0,,0,443,0,0.0,2.45
egocg,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
egocg,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
egocg,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
egocg,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
egocg,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
egocg,2015-02-23 - 2015-03-01,5,0,0.0,0.0,0,,1,158,0,0.0,33.82
egocg,2015-03-02 - 2015-03-08,5,1,0.14285714285714285,4.12,0,,0,158,0,0.0,0.0
egocg,2015-03-09 - 2015-03-15,5,1,0.42857142857142855,17.16,0,,0,158,0,0.0,0.78
egocg,2015-03-16 - 2015-03-22,5,0,0.0,0.0,0,,0,158,0,0.0,0.24
egocg,2015-03-23 - 2015-03-29,5,0,0.0,0.0,0,,0,158,0,0.0,0.0
egocg,2015-03-30 - 2015-04-05,5,0,0.0,0.0,0,,0,158,0,0.0,0.0
egocg,2015-04-06 - 2015-04-12,3,1,0.14285714285714285,0.12,5,EXERCISE: 5,0,158,3,0.14285714285714285,2.91
santaamalia,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
santaamalia,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
santaamalia,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
santaamalia,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
santaamalia,2015-02-16 - 2015-02-22,-,0,0.0,0.0,8,"VIDEO: 3, EXERCISELIST: 1, ARTICLE: 2, PRESENTATION: 1, EXERCISE: 1",0,-,0,0.0,0.0
santaamalia,2015-02-23 - 2015-03-01,4,0,0.0,0.0,0,,0,342,0,0.0,0.04
santaamalia,2015-03-02 - 2015-03-08,4,1,0.14285714285714285,3.01,0,,1,343,0,0.0,0.0
santaamalia,2015-03-09 - 2015-03-15,4,2,0.21428571428571427,45.32,13,"EXERCISELIST: 1, EXERCISE: 12",0,343,0,0.0,0.0
santaamalia,2015-03-16 - 2015-03-22,4,0,0.0,0.0,0,,0,343,0,0.0,4.52
santaamalia,2015-03-23 - 2015-03-29,4,0,0.0,0.0,0,,0,343,0,0.0,0.0
santaamalia,2015-03-30 - 2015-04-05,4,0,0.0,0.0,0,,0,343,0,0.0,0.0
santaamalia,2015-04-06 - 2015-04-12,4,0,0.0,0.0,5,"ARTICLE: 4, PRESENTATION: 1",2,343,86,0.15116279069767444,2.03
escolasoito,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-02-23 - 2015-03-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-03-02 - 2015-03-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
escolasoito,2015-03-09 - 2015-03-15,0,0,0.0,0.0,0,,0,0,0,0.0,0.0
escolasoito,2015-03-16 - 2015-03-22,1,0,0.0,0.0,0,,0,1,0,0.0,0.0
escolasoito,2015-03-23 - 2015-03-29,3,3,0.19047619047619047,4.31,11,"EXERCISELIST: 1, EXERCISE: 10",1,87,1,0.14285714285714285,7.22
escolasoito,2015-03-30 - 2015-04-05,4,2,0.21428571428571427,15.98,0,,0,87,13,0.14285714285714285,2.27
escolasoito,2015-04-06 - 2015-04-12,4,0,0.0,0.0,8,"VIDEO: 1, EXERCISELIST: 1, EXERCISE: 6",2,87,32,0.14285714285714285,5.29
ensinoteclondrina,2015-01-19 - 2015-01-25,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ensinoteclondrina,2015-01-26 - 2015-02-01,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ensinoteclondrina,2015-02-02 - 2015-02-08,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ensinoteclondrina,2015-02-09 - 2015-02-15,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ensinoteclondrina,2015-02-16 - 2015-02-22,-,0,0.0,0.0,0,,0,-,0,0.0,0.0
ensinoteclondrina,2015-02-23 - 2015-03-01,3,3,0.23809523809523808,5.39,0,,2,1,0,0.0,55.22
ensinoteclondrina,2015-03-02 - 2015-03-08,3,2,0.21428571428571427,3.43,0,,0,32,0,0.0,9.75
ensinoteclondrina,2015-03-09 - 2015-03-15,3,0,0.0,0.0,0,,0,32,0,0.0,4.09
ensinoteclondrina,2015-03-16 - 2015-03-22,3,0,0.0,0.0,0,,0,33,0,0.0,1.87
